Make,Model,Engine_Fuel_Type,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP
BMW,1 Series M,premium unleaded (required),335,6,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,3916,46135
BMW,1 Series,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,19,3916,40650
BMW,1 Series,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,3916,36350
BMW,1 Series,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,18,3916,29450
BMW,1 Series,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,18,3916,34500
BMW,1 Series,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,18,3916,31200
BMW,1 Series,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Convertible,26,17,3916,44100
BMW,1 Series,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,3916,39300
BMW,1 Series,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,18,3916,36900
BMW,1 Series,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,27,18,3916,37200
BMW,1 Series,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,3916,39600
BMW,1 Series,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,19,3916,31500
BMW,1 Series,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,19,3916,44400
BMW,1 Series,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,19,3916,37200
BMW,1 Series,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,19,3916,31500
BMW,1 Series,premium unleaded (required),320,6,MANUAL,rear wheel drive,2,Compact,Convertible,25,18,3916,48250
BMW,1 Series,premium unleaded (required),320,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,3916,43550
Audi,100,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105,2000
Audi,100,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105,2000
Audi,100,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,20,16,3105,2000
Audi,100,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105,2000
Audi,100,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,21,16,3105,2000
Audi,100,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105,2000
Audi,100,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,20,16,3105,2000
Audi,100,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105,2000
Audi,100,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105,2000
Audi,100,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,21,16,3105,2000
Audi,100,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Midsize,Wagon,21,16,3105,2000
Audi,100,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,22,16,3105,2000
Audi,100,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,22,17,3105,2000
Audi,100,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,22,16,3105,2000
Audi,100,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,21,16,3105,2000
FIAT,124 Spider,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,819,27495
FIAT,124 Spider,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,819,24995
FIAT,124 Spider,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,819,28195
